Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
spinal stenosis,arm pain,neck pain,paresthesia,shoulder pain,lower body pain,leg pain,hip pain,headache,problems with movement,loss of sensation,back pain,low back pain
intestinal obstruction,sharp abdominal pain,vomiting,stomach bloating,retention of urine,vaginal itching,burning abdominal pain,pain of the anus,nausea,constipation,,,
heart contusion,depression,elbow weakness,,,,,,,,,,
congenital malformation syndrome,diminished hearing,lack of growth,seizures,gum pain,,,,,,,,
sporotrichosis,wrist pain,knee pain,,,,,,,,,,
lymphangitis,arm pain,neck swelling,,,,,,,,,,
wernicke korsakoff syndrome,anxiety and nervousness,depressive or psychotic symptoms,abusing alcohol,,,,,,,,,
intestinal disease,fainting,sharp abdominal pain,nausea,vomiting,diarrhea,burning abdominal pain,sharp chest pain,regurgitation,regurgitation.1,,,
acute bronchitis,shortness of breath,sharp chest pain,sore throat,nasal congestion,headache,wheezing,fever,coughing up sputum,congestion in chest,cough,difficulty breathing,coryza
persistent vomiting of unknown cause,dizziness,abnormal involuntary movements,vomiting,fever,diarrhea,sharp abdominal pain,nausea,,,,,
open wound of the foot,foot or toe pain,foot or toe swelling,unwanted hair,incontinence of stool,skin lesion,skin on leg or foot looks infected,,,,,,
myocarditis,sharp chest pain,dizziness,palpitations,,,,,,,,,
preeclampsia,sharp abdominal pain,headache,lower abdominal pain,vaginal redness,uterine contractions,spots or clouds in vision,problems during pregnancy,recent pregnancy,pain during pregnancy,,,
ischemic heart disease,shortness of breath,dizziness,chest tightness,palpitations,throat feels tight,peripheral edema,muscle pain,difficulty breathing,fatigue,sharp chest pain,lymphedema,
neurofibromatosis,abnormal involuntary movements,groin mass,abnormal appearing skin,headache,,,,,,,,
chickenpox,cough,pain in testicles,abnormal appearing skin,fever,symptoms of bladder,foot or toe cramps or spasms,,,,,,
pancreatic cancer,jaundice,nausea,ache all over,stomach bloating,diarrhea,sharp abdominal pain,arm swelling,,,,,
neuropathy due to drugs,cough,vomiting,foot or toe pain,problems with movement,loss of sensation,,,,,,,
croup,hoarse voice,nasal congestion,coryza,abnormal breathing sounds,shortness of breath,wheezing,fever,sore throat,vomiting,cough,pulling at ears,
idiopathic excessive menstruation,sharp abdominal pain,cramps and spasms,blood clots during menstrual periods,back mass or lump,long menstrual periods,heavy menstrual flow,painful menstruation,vaginal discharge,intermenstrual bleeding,nosebleed,involuntary urination,
amblyopia,pus draining from ear,eye deviation,diminished vision,cross-eyed,pain in eye,,,,,,,
meckel diverticulum,lower abdominal pain,knee lump or mass,,,,,,,,,,
dislocation of the wrist,depression,elbow weakness,hand or finger pain,arm pain,,,,,,,,
ear drum damage,cough,diminished hearing,pus draining from ear,ear pain,pulling at ears,redness in ear,pelvic pressure,ringing in ear,fluid in ear,nasal congestion,plugged feeling in ear,
erectile dysfunction,retention of urine,pain in testicles,involuntary urination,pain during intercourse,frequent urination,excessive urination at night,arm weakness,blood in urine,impotence,symptoms of prostate,,
temporary or benign blood in urine,suprapubic pain,painful urination,involuntary urination,frequent urination,lower abdominal pain,regurgitation,regurgitation.1,retention of urine,sharp abdominal pain,back pain,blood in urine,eyelid lesion or rash
kidney disease due to longstanding hypertension,difficulty speaking,feeling cold,symptoms of the kidneys,shortness of breath,,,,,,,,
chondromalacia of the patella,bones are painful,knee weakness,leg pain,knee swelling,problems with movement,knee pain,,,,,,
onychomycosis,skin swelling,abnormal appearing skin,foot or toe pain,skin on leg or foot looks infected,hurts to breath,skin growth,unwanted hair,hip swelling,foot or toe cramps or spasms,,,
urethral disorder,retention of urine,suprapubic pain,sharp abdominal pain,vomiting,involuntary urination,side pain,abusing alcohol,painful urination,,,,
lyme disease,depressive or psychotic symptoms,hip pain,abnormal appearing skin,symptoms of the face,fever,fatigue,headache,,,,,
iron deficiency anemia,dizziness,blood in stool,intermenstrual bleeding,heartburn,weakness,nosebleed,regurgitation,regurgitation.1,fatigue,weight gain,rectal bleeding,
acute respiratory distress syndrome (ards),shortness of breath,depressive or psychotic symptoms,sharp chest pain,difficulty breathing,cough,fever,chills,chest tightness,wheezing,,,
toxic multinodular goiter,abnormal involuntary movements,irregular heartbeat,fatigue,involuntary urination,double vision,,,,,,,
open wound of the finger,hand or finger pain,hand or finger stiffness or tightness,nailbiting,hand or finger swelling,,,,,,,,
autonomic nervous system disorder,dizziness,difficulty in swallowing,leg pain,headache,decreased appetite,,,,,,,
psychosexual disorder,involuntary urination,pain during intercourse,impotence,sleepwalking,depression,fatigue,arm weakness,,,,,
anemia,shortness of breath,dizziness,vomiting blood,weakness,changes in stool appearance,melena,low back cramps or spasms,fatigue,,,,
tendinitis,leg pain,hip pain,hand or finger pain,knee pain,ankle pain,hand or finger swelling,arm pain,foot or toe pain,wrist pain,shoulder pain,,
common cold,cough,nasal congestion,wheezing,ear pain,chills,coryza,sore throat,vomiting,fever,flu-like syndrome,headache,
amyotrophic lateral sclerosis (als),abnormal involuntary movements,difficulty speaking,difficulty in swallowing,weakness,leg cramps or spasms,,,,,,,
central retinal artery or vein occlusion,irregular heartbeat,diminished vision,foreign body sensation in eye,blindness,pain in eye,symptoms of eye,,,,,,
paroxysmal supraventricular tachycardia,shortness of breath,chest tightness,involuntary urination,weakness,increased heart rate,sharp chest pain,dizziness,palpitations,irregular heartbeat,,,
venous insufficiency,leg pain,abnormal appearing skin,skin lesion,leg cramps or spasms,lymphedema,skin on leg or foot looks infected,fluid retention,burning chest pain,,,,
trichomonas infection,vomiting,vaginal itching,lower abdominal pain,long menstrual periods,sharp abdominal pain,nausea,pain during pregnancy,vaginal discharge,,,,
acne,skin swelling,abnormal appearing skin,acne or pimples,skin growth,irregular appearing scalp,back mass or lump,hurts to breath,foot or toe cramps or spasms,skin moles,,,
depression,depression,abusing alcohol,anxiety and nervousness,disturbance of memory,delusions or hallucinations,depressive or psychotic symptoms,excessive anger,temper problems,insomnia,hostile behavior,drug abuse,
drug abuse,anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol,drug abuse,smoking problems,infertility,disturbance of smell or taste,hostile behavior,delusions or hallucinations,,
urinary tract obstruction,retention of urine,suprapubic pain,sharp abdominal pain,blood in urine,back pain,symptoms of prostate,frequent urination,excessive urination at night,painful urination,side pain,,
diabetes insipidus,dizziness,emotional symptoms,,,,,,,,,,
iridocyclitis,headache,diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,eye redness,eye burns or stings,change in skin mole size or color,lacrimation,,,
varicocele of the testicles,symptoms of the scrotum and testes,swelling of scrotum,pain in testicles,lower abdominal pain,skin growth,pain of the anus,involuntary urination,unpredictable menstruation,groin pain,mass in scrotum,,
irritable bowel syndrome,insomnia,flatulence,upper abdominal pain,diarrhea,lower abdominal pain,burning abdominal pain,anxiety and nervousness,nausea,sharp abdominal pain,,,
fracture of the foot,foot or toe pain,drainage in throat,foot or toe swelling,throat redness,ankle pain,too little hair,,,,,,
ovarian cyst,sharp abdominal pain,nausea,vaginal discharge,intermenstrual bleeding,pelvic pain,burning abdominal pain,heavy menstrual flow,lower abdominal pain,vomiting,,,
chlamydia,sharp abdominal pain,lower abdominal pain,pelvic pain,vaginal pain,vaginal discharge,vaginal itching,,,,,,
parasitic disease,cough,sharp abdominal pain,abnormal appearing skin,retention of urine,hand or finger swelling,foot or toe cramps or spasms,,,,,,
fracture of the jaw,facial pain,jaw swelling,pain in eye,peripheral edema,irregular belly button,bones are painful,,,,,,
lipoma,groin mass,abnormal appearing skin,skin lesion,bones are painful,bleeding in mouth,skin swelling,or spasms",penile discharge,neck mass,skin growth,,
female genitalia infection,skin swelling,vaginal discharge,skin lesion,vulvar irritation,groin pain,itching of the anus,vaginal pain,,,,,
pulmonary hypertension,shortness of breath,palpitations,difficulty breathing,apnea,feeling ill,sharp chest pain,cough,fatigue,hemoptysis,,,
thyroid nodule,hoarse voice,diminished hearing,difficulty in swallowing,neck mass,fatigue,throat feels tight,back weakness,,,,,
broken tooth,lip swelling,dry lips,polyuria,facial pain,toothache,difficulty eating,gum pain,,,,,
dumping syndrome,vomiting,nausea,knee lump or mass,,,,,,,,,
lymphadenitis,sore throat,cough,sharp abdominal pain,neck pain,neck swelling,fever,skin swelling,ear pain,neck mass,,,
injury to the face,diminished hearing,ear pain,neck stiffness or tightness,pelvic pressure,neck pain,low back cramps or spasms,facial pain,headache,irregular belly button,,,
aortic valve disease,shortness of breath,sharp chest pain,palpitations,irregular heartbeat,lymphedema,groin mass,fainting,peripheral edema,difficulty breathing,,,
rheumatoid arthritis,hand or finger pain,wrist pain,ache all over,premenstrual tension or irritability,wrist swelling,joint pain,eyelid retracted,hand or finger swelling,peripheral edema,knee pain,,
spermatocele,retention of urine,pain in testicles,frequent urination,elbow weakness,mass in scrotum,,,,,,,
impetigo,cough,nasal congestion,skin swelling,skin lesion,mouth ulcer,symptoms of bladder,skin on head or neck looks infected,foot or toe cramps or spasms,fever,abnormal appearing skin,,
anal fistula,blood in stool,mass in scrotum,rectal bleeding,pain of the anus,,,,,,,,
hypothermia,depressive or psychotic symptoms,emotional symptoms,fainting,weakness,,,,,,,,
oppositional disorder,hostile behavior,restlessness,excessive anger,elbow stiffness or tightness,leg lump or mass,disturbance of smell or taste,hand or finger cramps or spasms,fainting,temper problems,depressive or psychotic symptoms,,
migraine,headache,nausea,diminished vision,spots or clouds in vision,blindness,symptoms of the face,disturbance of memory,dizziness,vomiting,,,
diabetic peripheral neuropathy,leg pain,skin lesion,foot or toe swelling,loss of sensation,lymphedema,drainage in throat,foot or toe pain,paresthesia,problems with movement,,,
testicular disorder,hoarse voice,symptoms of the scrotum and testes,impotence,arm weakness,fatigue,,,,,,,
gestational diabetes,vaginal redness,problems during pregnancy,dry or flaky scalp,pain during pregnancy,uterine contractions,,,,,,,
hidradenitis suppurativa,skin swelling,groin mass,arm pain,skin lesion,skin growth,foot or toe cramps or spasms,,,,,,
valley fever,hand or finger pain,fever,shortness of breath,shoulder swelling,,,,,,,,
conjunctivitis due to bacteria,sore throat,nasal congestion,abnormal appearing skin,cough,eye redness,fever,,,,,,
lewy body dementia,depressive or psychotic symptoms,hostile behavior,delusions or hallucinations,disturbance of memory,abnormal involuntary movements,,,,,,,
multiple myeloma,lip swelling,problems with movement,weakness,fatigue,disturbance of memory,,,,,,,
head injury,fainting,lip swelling,facial pain,double vision,back pain,neck pain,headache,dizziness,,,,
ascending cholangitis,shortness of breath,retention of urine,jaundice,sharp abdominal pain,fever,,,,,,,
idiopathic irregular menstrual cycle,sharp abdominal pain,intermenstrual bleeding,pelvic pain,cramps and spasms,long menstrual periods,heavy menstrual flow,unpredictable menstruation,painful menstruation,back mass or lump,lower abdominal pain,nosebleed,
interstitial lung disease,sore throat,nasal congestion,wheezing,fever,abnormal breathing sounds,shortness of breath,cough,headache,sleepiness,,,
mononeuritis,hand or finger pain,arm pain,foot or toe pain,elbow pain,loss of sensation,shoulder pain,leg pain,wrist pain,elbow swelling,ankle pain,,
malaria,fainting,headache,knee lump or mass,fever,,,,,,,,
somatization disorder,anxiety and nervousness,dizziness,fainting,ache all over,depression,,,,,,,
hypovolemia,dizziness,sharp abdominal pain,feeling ill,vomiting,nausea,diarrhea,decreased appetite,fever,fainting,,,
schizophrenia,anxiety and nervousness,insomnia,temper problems,fears and phobias,elbow stiffness or tightness,hostile behavior,excessive anger,penis redness,depression,depressive or psychotic symptoms,delusions or hallucinations,
knee ligament or meniscus tear,knee swelling,skin oiliness,knee pain,knee weakness,knee lump or mass,knee stiffness or tightness,leg stiffness or tightness,,,,,
endocarditis,sharp chest pain,dizziness,palpitations,increased heart rate,shortness of breath,irregular heartbeat,,,,,,
sepsis,shortness of breath,sharp abdominal pain,decreased appetite,difficulty breathing,suprapubic pain,feeling ill,vomiting,cough,fever,chills,weakness,
heat stroke,dizziness,ankle swelling,,,,,,,,,,
cholecystitis,sharp abdominal pain,vomiting,nausea,back pain,burning abdominal pain,side pain,lower body pain,upper abdominal pain,stomach bloating,symptoms of the kidneys,sharp chest pain,regurgitation.1
cardiac arrest,shortness of breath,sharp chest pain,palpitations,arm swelling,weakness,decreased heart rate,difficulty breathing,irregular heartbeat,,,,
cardiomyopathy,shortness of breath,chest tightness,peripheral edema,decreased heart rate,fatigue,irregular heartbeat,heartburn,sharp chest pain,,,,
social phobia,depressive or psychotic symptoms,insomnia,excessive anger,delusions or hallucinations,anxiety and nervousness,excessive appetite,fears and phobias,abusing alcohol,depression,,,
meningitis,vomiting,neck pain,neck stiffness or tightness,fever,ache all over,cough,headache,nausea,,,,
spherocytosis,cough,elbow weakness,foot or toe cramps or spasms,,,,,,,,,
hormone disorder,lack of growth,headache,hot flashes,acne or pimples,excessive growth,,,,,,,
raynaud disease,hand or finger pain,hand or finger swelling,loss of sensation,,,,,,,,,
reactive arthritis,hip pain,knee lump or mass,,,,,,,,,,
scabies,abnormal appearing skin,foot or toe swelling,problems during pregnancy,symptoms of bladder,long menstrual periods,foot or toe cramps or spasms,skin swelling,,,,,
ear wax impaction,cough,nasal congestion,diminished hearing,fluid in ear,fever,pulling at ears,ringing in ear,plugged feeling in ear,sinus congestion,ear pain,,
hypertension of pregnancy,headache,pain during pregnancy,heartburn,problems during pregnancy,spotting or bleeding during pregnancy,uterine contractions,,,,,,
peripheral arterial embolism,leg pain,abnormal appearing skin,knee swelling,loss of sensation,paresthesia,leg swelling,,,,,,
rosacea,skin swelling,abnormal appearing skin,skin lesion,symptoms of eye,lymphedema,hurts to breath,acne or pimples,skin growth,symptoms of bladder,skin moles,,
fracture of the skull,depressive or psychotic symptoms,diminished hearing,vomiting,headache,drug abuse,,,,,,,
uveitis,elbow weakness,diminished vision,symptoms of eye,,,,,,,,,
fracture of the facial bones,lip swelling,double vision,pain in eye,peripheral edema,elbow lump or mass,abusing alcohol,facial pain,headache,sweating,,,
tracheitis,shortness of breath,hoarse voice,cough,nasal congestion,fever,pupils unequal,sore throat,,,,,
jaw disorder,difficulty in swallowing,headache,toothache,peripheral edema,jaw swelling,irregular belly button,facial pain,neck mass,,,,
perirectal infection,skin swelling,swelling of scrotum,abnormal appearing skin,skin lesion,pain of the anus,pain in testicles,,,,,,
breast cyst,vaginal dryness,pain or soreness of breast,skin growth,nightmares,,,,,,,,
post-traumatic stress disorder (ptsd),anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,hostile behavior,drug abuse,abusing alcohol,temper problems,excessive anger,delusions or hallucinations,,
kidney cancer,involuntary urination,blood in urine,kidney mass,retention of urine,groin mass,,,,,,,
vulvar cancer,insomnia,back pain,emotional symptoms,,,,,,,,,
blepharitis,diminished vision,pain in eye,spots or clouds in vision,eye redness,lacrimation,sweating,mass on eyelid,white discharge from eye,itchiness of eye,eye burns or stings,symptoms of eye,
celiac disease,sharp abdominal pain,vomiting,nausea,peripheral edema,sharp chest pain,regurgitation.1,,,,,,
cystitis,retention of urine,sharp abdominal pain,painful urination,pelvic pain,side pain,lower abdominal pain,blood in urine,back pain,suprapubic pain,frequent urination,eyelid lesion or rash,involuntary urination
sickle cell anemia,dry lips,back pain,fever,temper problems,pulling at ears,leg pain,joint pain,ache all over,,,,
subconjunctival hemorrhage,headache,facial pain,diminished vision,pain in eye,foreign body sensation in eye,eye redness,bleeding from eye,symptoms of eye,,,,
hemorrhoids,blood in stool,pain of the anus,heartburn,rectal bleeding,constipation,warts,mass on ear,lower body pain,changes in stool appearance,sharp abdominal pain,melena,
contact dermatitis,skin swelling,skin lesion,acne or pimples,skin moles,hurts to breath,"skin dryness,allergic reaction,symptoms of bladder,abnormal appearing skin,sweating,foot or toe cramps or spasms,
sinus bradycardia,shortness of breath,dizziness,chest tightness,palpitations,weakness,decreased heart rate,fainting,feeling ill,increased heart rate,sharp chest pain,irregular heartbeat,
high blood pressure,sharp chest pain,headache,,,,,,,,,,
pelvic inflammatory disease,vomiting,pelvic pain,burning abdominal pain,suprapubic pain,nausea,painful urination,lower abdominal pain,vaginal discharge,intermenstrual bleeding,back pain,sharp abdominal pain,
liver disease,sharp abdominal pain,diarrhea,peripheral edema,heartburn,weakness,upper abdominal pain,nausea,unusual color or odor to urine,shortness of breath,blood in stool,jaundice,side pain
chronic constipation,retention of urine,blood in stool,sharp abdominal pain,vomiting,nausea,pain of the anus,constipation,rectal bleeding,lower abdominal pain,burning abdominal pain,changes in stool appearance,
thyroid cancer,swollen lymph nodes,neck mass,difficulty in swallowing,fatigue,,,,,,,,
flu,sore throat,cough,diarrhea,ache all over,chills,vomiting,headache,nausea,fever,coryza,,
friedrich ataxia,cough,knee lump or mass,ear pain,,,,,,,,,
tic (movement) disorder,depressive or psychotic symptoms,abnormal involuntary movements,abnormal movement of eyelid,problems with movement,headache,symptoms of eye,,,,,,
skin polyp,skin swelling,irregular appearing scalp,skin moles,"skin dryness,abnormal appearing skin,skin lesion,acne or pimples,skin growth,hurts to breath,skin irritation,symptoms of bladder,
brachial neuritis,headache,arm pain,back pain,low back pain,elbow pain,paresthesia,shoulder pain,hand or finger pain,loss of sensation,elbow swelling,neck pain,
cervical cancer,jaundice,vaginal itching,pelvic pain,nosebleed,vulvar irritation,vaginal discharge,,,,,,
adrenal adenoma,anxiety and nervousness,shortness of breath,back weakness,sharp abdominal pain,,,,,,,,
esophagitis,shortness of breath,sharp chest pain,chest tightness,cough,difficulty in swallowing,sharp abdominal pain,vomiting,sore throat,burning abdominal pain,heartburn,upper abdominal pain,nausea
gas gangrene,sharp abdominal pain,wrist pain,,,,,,,,,,
yeast infection,suprapubic pain,frequent urination,vaginal discharge,vaginal pain,sharp abdominal pain,arm lump or mass,vaginal itching,foot or toe cramps or spasms,pelvic pain,,,
spina bifida,skin lesion,eye moves abnormally,back pain,disturbance of memory,headache,involuntary urination,,,,,,
drug poisoning due to medication,depression,depressive or psychotic symptoms,abusing alcohol,drug abuse,lip swelling,slurring words,sleepiness,,,,,
alcoholic liver disease,abnormal involuntary movements,peripheral edema,weight gain,stomach bloating,sharp abdominal pain,diarrhea,abusing alcohol,,,,,
malignant hypertension,sharp chest pain,insomnia,headache,depressive or psychotic symptoms,lower body pain,shortness of breath,vomiting,,,,,
diverticulitis,blood in stool,sharp abdominal pain,vomiting,diarrhea,lower abdominal pain,burning abdominal pain,side pain,fever,nausea,constipation,upper abdominal pain,chills
moyamoya disease,depressive or psychotic symptoms,elbow weakness,,,,,,,,,,
heat exhaustion,shortness of breath,dizziness,vomiting,headache,weakness,sharp chest pain,fluid retention,fainting,,,,
psychotic disorder,depression,depressive or psychotic symptoms,insomnia,abusing alcohol,excessive anger,temper problems,fears and phobias,penis redness,anxiety and nervousness,hostile behavior,delusions or hallucinations,
frostbite,sharp chest pain,elbow weakness,foot or toe pain,,,,,,,,,
atrophy of the corpus cavernosum,frequent urination,skin growth,itchy scalp,abnormal appearing skin,impotence,,,,,,,
smoking or tobacco addiction,shortness of breath,abusing alcohol,coughing up sputum,drug abuse,smoking problems,hemoptysis,irregular appearing nails,sharp chest pain,cough,headache,excessive anger,
sprain or strain,leg pain,headache,hand or finger pain,arm pain,back pain,neck pain,low back pain,knee pain,wrist pain,foot or toe pain,ankle pain,shoulder pain
essential tremor,dizziness,abnormal involuntary movements,hoarse voice,problems with movement,disturbance of memory,muscle pain,loss of sensation,,,,,
open wound of the ear,dry lips,facial pain,ear pain,fluid in ear,pelvic pressure,,,,,,,
foreign body in the nose,nasal congestion,regurgitation.1,,,,,,,,,,
idiopathic painful menstruation,lower abdominal pain,vaginal discharge,cramps and spasms,blood clots during menstrual periods,back mass or lump,nosebleed,long menstrual periods,pelvic pain,sharp abdominal pain,vaginal itching,heavy menstrual flow,
down syndrome,difficulty speaking,nasal congestion,lack of growth,seizures,cough,decreased appetite,,,,,,
idiopathic infrequent menstruation,retention of urine,sharp abdominal pain,nausea,long menstrual periods,,,,,,,,
pneumothorax,shortness of breath,drug abuse,shoulder pain,sharp chest pain,cough,side pain,back pain,irregular appearing nails,,,,
de quervain disease,abnormal involuntary movements,wrist pain,hand or finger swelling,wrist swelling,hand or finger pain,arm pain,shoulder pain,,,,,
fracture of the vertebra,hip pain,hand or finger stiffness or tightness,back pain,neck pain,leg stiffness or tightness,pelvic pain,bones are painful,low back pain,,,,
human immunodeficiency virus infection (hiv),drug abuse,fears and phobias,shoulder lump or mass,,,,,,,,,
mumps,sore throat,swollen lymph nodes,ear pain,shoulder swelling,,,,,,,,
subarachnoid hemorrhage,dizziness,fainting,vomiting,headache,symptoms of eye,loss of sensation,,,,,,
acute fatty liver of pregnancy (aflp),emotional symptoms,sharp abdominal pain,,,,,,,,,,
ectropion,white discharge from eye,symptoms of eye,pain in eye,eye redness,lacrimation,,,,,,,
scar,skin swelling,lip swelling,skin lesion,skin growth,skin moles,symptoms of bladder,abnormal appearing skin,,,,,
lactose intolerance,shortness of breath,nasal congestion,flatulence,diarrhea,impotence,burning abdominal pain,,,,,,
eustachian tube dysfunction (ear disorder),dizziness,sore throat,ear pain,allergic reaction,redness in ear,bleeding from ear,ringing in ear,abnormal breathing sounds,nasal congestion,diminished hearing,plugged feeling in ear,
appendicitis,sharp abdominal pain,diarrhea,burning abdominal pain,decreased appetite,side pain,upper abdominal pain,lower abdominal pain,fever,stomach bloating,vomiting,nausea,
graves disease,dizziness,abnormal involuntary movements,palpitations,irregular heartbeat,hemoptysis,infertility,involuntary urination,,,,,
dissociative disorder,anxiety and nervousness,back weakness,excessive anger,disturbance of memory,depressive or psychotic symptoms,,,,,,,
open wound of the face,wrist swelling,facial pain,,,,,,,,,,
dislocation of the vertebra,leg pain,elbow weakness,back pain,neck pain,low back pain,,,,,,,
phimosis,retention of urine,symptoms of the scrotum and testes,blood in urine,mouth pain,leg weakness,painful urination,,,,,,
hyperemesis gravidarum,sharp abdominal pain,nausea,diarrhea,pain during pregnancy,vomiting blood,burning abdominal pain,problems during pregnancy,dizziness,weakness,vomiting,headache,
pregnancy,pain during pregnancy,spotting or bleeding during pregnancy,cramps and spasms,uterine contractions,problems during pregnancy,dry or flaky scalp,,,,,,
thalassemia,insomnia,elbow weakness,,,,,,,,,,
placenta previa,involuntary urination,spotting or bleeding during pregnancy,pain during pregnancy,cramps and spasms,,,,,,,,
epidural hemorrhage,depressive or psychotic symptoms,dizziness,emotional symptoms,,,,,,,,,
septic arthritis,leg pain,hip pain,knee pain,knee swelling,fever,,,,,,,
athlete's foot,abnormal appearing skin,skin lesion,foot or toe pain,unwanted hair,hurts to breath,foot or toe cramps or spasms,skin swelling,foot or toe swelling,,,,
pleural effusion,shortness of breath,sharp chest pain,cough,sharp abdominal pain,back pain,irregular appearing nails,side pain,difficulty breathing,rib pain,weakness,,
aphakia,symptoms of eye,spots or clouds in vision,eye burns or stings,diminished vision,,,,,,,,
vulvar disorder,vaginal itching,pain during intercourse,vaginal pain,hurts to breath,vaginal discharge,vulvar irritation,,,,,,
sialoadenitis,sore throat,cough,facial pain,swollen lymph nodes,peripheral edema,neck mass,jaw swelling,neck swelling,nasal congestion,,,
gynecomastia,back pain,neck pain,bones are painful,nightmares,skin swelling,problems with shape or size of breast,pain or soreness of breast,,,,,
urinary tract infection,retention of urine,vomiting,painful urination,frequent urination,back pain,suprapubic pain,nausea,blood in urine,side pain,lower abdominal pain,fever,
histoplasmosis,cough,elbow weakness,lacrimation,,,,,,,,,
erythema multiforme,vomiting,mouth ulcer,foot or toe cramps or spasms,difficulty in swallowing,fever,,,,,,,
scoliosis,back pain,leg pain,knee swelling,knee stiffness or tightness,low back pain,problems with movement,lower body pain,,,,,
bunion,skin growth,knee pain,foot or toe pain,skin moles,incontinence of stool,,,,,,,
arrhythmia,shortness of breath,sharp chest pain,chest tightness,palpitations,leg cramps or spasms,dizziness,fainting,fatigue,,,,
trigeminal neuralgia,dizziness,abnormal involuntary movements,headache,facial pain,toothache,symptoms of the face,pain in eye,,,,,
ankylosing spondylitis,leg pain,hip pain,back pain,low back pain,elbow pain,paresthesia,stiffness all over,knee pain,ache all over,lower body pain,,
peripheral nerve disorder,dizziness,abnormal involuntary movements,leg pain,back pain,foot or toe pain,problems with movement,loss of sensation,disturbance of memory,arm pain,paresthesia,swollen tongue,skin oiliness
sebaceous cyst,skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,or spasms",penile discharge,hand or finger lump or mass,irregular appearing scalp,neck mass,skin moles,
poisoning due to antipsychotics,anxiety and nervousness,sharp chest pain,delusions or hallucinations,,,,,,,,,
neurosis,insomnia,smoking problems,delusions or hallucinations,leg lump or mass,anxiety and nervousness,depressive or psychotic symptoms,hostile behavior,drug abuse,headache,depression,excessive anger,
prostate cancer,retention of urine,involuntary urination,pain during intercourse,symptoms of prostate,flushing,blood in urine,impotence,excessive urination at night,,,,
cerebral edema,dizziness,vomiting,neck pain,focal weakness,arm pain,headache,,,,,,
dislocation of the finger,wrist pain,hand or finger swelling,difficulty speaking,hand or finger pain,hand or finger stiffness or tightness,,,,,,,
birth trauma,depressive or psychotic symptoms,emotional symptoms,arm stiffness or tightness,,,,,,,,,
chronic pancreatitis,vomiting,nausea,skin growth,ache all over,abusing alcohol,sharp abdominal pain,diarrhea,back pain,,,,
hematoma,swelling of scrotum,arm swelling,skin swelling,sharp abdominal pain,ache all over,,,,,,,
carcinoid syndrome,involuntary urination,knee lump or mass,,,,,,,,,,
open wound of the head,abusing alcohol,headache,,,,,,,,,,
seborrheic keratosis,skin growth,irregular appearing scalp,skin moles,skin swelling,skin lesion,acne or pimples,symptoms of bladder,"skin dryness,skin irritation,foot or toe cramps or spasms,abnormal appearing skin,
burn,wrist pain,wrist swelling,knee pain,headache,hand or finger pain,"skin dryness,,,,,,
spontaneous abortion,sharp abdominal pain,lower abdominal pain,intermenstrual bleeding,pelvic pain,burning abdominal pain,problems during pregnancy,pain during pregnancy,spotting or bleeding during pregnancy,blood clots during menstrual periods,nosebleed,cramps and spasms,uterine contractions
genital herpes,vaginal itching,skin lesion,recent pregnancy,foot or toe cramps or spasms,painful urination,vaginal discharge,suprapubic pain,,,,,
adjustment reaction,hostile behavior,restlessness,excessive anger,delusions or hallucinations,depression,insomnia,fears and phobias,anxiety and nervousness,shoulder lump or mass,,,
gallstone,sharp abdominal pain,burning abdominal pain,heartburn,regurgitation.1,sharp chest pain,upper abdominal pain,vomiting,lower body pain,nausea,back pain,side pain,
multiple sclerosis,dizziness,headache,weakness,loss of sensation,paresthesia,abnormal involuntary movements,problems with movement,fatigue,disturbance of memory,skin oiliness,focal weakness,
zenker diverticulum,sharp chest pain,sore throat,elbow weakness,,,,,,,,,
fracture of the pelvis,difficulty speaking,hip pain,back pain,knee pain,leg pain,ache all over,groin pain,,,,,
pneumoconiosis,shortness of breath,dizziness,cough,fever,,,,,,,,
hyperlipidemia,sharp chest pain,smoking problems,weight gain,,,,,,,,,
ulcerative colitis,nausea,diarrhea,swollen lymph nodes,rectal bleeding,sharp abdominal pain,vomiting,lower abdominal pain,burning abdominal pain,blood in stool,,,
male genitalia infection,swelling of scrotum,pain in testicles,irritable infant,abnormal appearing skin,mass in scrotum,itchy scalp,,,,,,
hpv,vaginal itching,involuntary urination,skin irritation,,,,,,,,,
angina,dizziness,chest tightness,irregular heartbeat,hot flashes,palpitations,increased heart rate,lower body pain,shortness of breath,sharp chest pain,infertility,arm pain,
injury to the spinal cord,retention of urine,back pain,headache,neck pain,,,,,,,,
nasal polyp,hoarse voice,cough,headache,frontal headache,allergic reaction,painful sinuses,nasal congestion,facial pain,,,,
lichen simplex,difficulty speaking,vaginal itching,skin lesion,symptoms of bladder,foot or toe cramps or spasms,,,,,,,
trichiasis,emotional symptoms,diminished vision,foreign body sensation in eye,eye redness,swollen eye,,,,,,,
acariasis,emotional symptoms,swelling of scrotum,symptoms of bladder,foot or toe cramps or spasms,,,,,,,,
